Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Mercedes-Benz S450 4Matic 2017,2017,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,1699000000,8,80000
Toyota Land Cruiser Prado GX 2016,2016,SUV,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Toyota,1269000000,9,14000
Mercedes-Benz C200 2.0 AT 2016,2016,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,615000000,9,112000
BMW 320i GT 2017,2017,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,BMW,769000000,8,90000
Mercedes-Benz C300 AMG 2021,2021,Sedan,Trong nước,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,1248000000,4,40000
Hyundai Tucson 1.6 Turbo HTRAC 2021,2021,SUV,Trong nước,Hà Nội,Thanh Xuân,Số tự động,Máy xăng,Hyundai,735000000,4,61000
Hyundai Santa Fe 2.4L Xăng Cao cấp 2020,2020,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Hyundai,795000000,5,80000
Mercedes-Benz CLA 250 4Matic 2015,2015,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,Mercedes-Benz,568000000,10,70000
BMW 320i Executive 2018,2018,Sedan,Nhập khẩu,Hà Nội,Long Biên,Số tự động,Máy xăng,BMW,769000000,7,80000
Ford Transit SVP Bản trung 2019,2019,Van/Minivan,Trong nước,Hà Nội,Đông Anh,Số sàn,Máy dầu,Ford,470000000,6,80000
Honda HR-V L 2019,2019,SUV,Nhập khẩu,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Honda,569000000,6,21689
Mitsubishi Xpander 1.5 MT 2020,2020,SUV,Nhập khẩu,Hà Nội,Hoàng Mai,Số sàn,Máy xăng,Mitsubishi,395000000,5,81289
