Name,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Động cơ,Màu ngoại thất,Màu nội thất
"Xe 
			
							Ford Territory 
						Titanium X 1.5 AT 
						2024
						- 865 Triệu",2024,Xe đã dùng,"10,000 Km",Lắp ráp trong nước,SUV,Xăng  1.5 L,Trắng,Đen
"Xe 
			
							Kia Sedona 
						2.2 DAT Luxury 
						2020
						- 835 Triệu",2020,Xe đã dùng,"60,000 Km",Lắp ráp trong nước,Van/Minivan,Dầu  2.2 L,Xanh,Kem
"Xe 
			
							Ford Ranger 
						XLS 2.0L 4x2 AT 
						2023
						- 639 Triệu",2023,Xe đã dùng,645 Km,Lắp ráp trong nước,Bán tải / Pickup,Dầu  2.0 L,Đỏ,Nâu
"Xe 
			
							MG 5 
						1.5 MT 
						2024
						- 305 Triệu",2024,Xe mới,,Nhập khẩu,Sedan,Xăng  1.5 L,Đỏ,Kem
"Xe 
			
							Toyota Vios 
						1.5E MT 
						2018
						- 275 Triệu",2018,Xe đã dùng,"69,000 Km",Lắp ráp trong nước,Sedan,Xăng  1.5 L,Cát,Ghi
