name,price,year,status,origin,mileage,fuel_type,body_type,brand,age
Kia Carnival 2.2D Signature 2024,1345000000,2024,Xe cũ,Trong nước,34000.0,dầu,MPV,Kia,1
Nissan Juke 1.6 CVT 2015,499000000,2015,Xe cũ,Nhập khẩu,57000.0,xăng,Hatchback,Nissan,10
Ford Ranger XLS 2.2 4x2 AT 2016,395000000,2016,Xe cũ,Trong nước,78000.0,dầu,Bán tải,Ford,9
VinFast LUX SA2.0 Cao cấp 2022,755000000,2022,Xe cũ,Trong nước,75000.0,xăng,SUV,VinFast,3
Mazda CX-5 2.0 Premium 2020,695000000,2020,Xe cũ,Trong nước,66000.0,xăng,SUV,Mazda,5
Mercedes-Benz GLC 200 V1 2022,1438000000,2022,Xe cũ,Trong nước,39000.0,xăng,SUV,Mercedes,3
VinFast Fadil Tiêu Chuẩn 2022,310000000,2022,Xe cũ,Trong nước,60000.0,xăng,Hatchback,VinFast,3
VinFast LUX A2.0 2020,500000000,2020,Xe cũ,Trong nước,50000.0,xăng,Other,VinFast,5
VinFast LUX A2.0 Tiêu chuẩn 2021,565000000,2021,Xe cũ,Trong nước,50000.0,xăng,Sedan,VinFast,4
Kia K5 2.0 Premium 2022,695000000,2022,Xe cũ,Trong nước,50000.0,xăng,Sedan,Kia,3
Ford Everest 2016,645000000,2016,Xe cũ,Nhập khẩu,99000.0,dầu,SUV,Ford,9
Mazda 3 Sedan 1.5L Deluxe 2022,499000000,2022,Xe cũ,Trong nước,42000.0,xăng,Sedan,Mazda,3
Kia Morning SLX 1.0 AT 2009,165000000,2009,Xe cũ,Nhập khẩu,65000.0,xăng,Hatchback,Kia,16
Toyota Camry 2.5Q 2019,785000000,2019,Xe cũ,Trong nước,65000.0,xăng,Sedan,Toyota,6
Mercedes-Benz E300 AMG 2019,1370000000,2019,Xe cũ,Trong nước,33000.0,xăng,Other,Mercedes,6
Mercedes-Benz C300 AMG 2020,1179000000,2020,Xe cũ,Nhập khẩu,49000.0,xăng,Sedan,Mercedes,5
BYD Seal Advanced 2024,805000000,2024,Xe cũ,Nhập khẩu,25000.0,khác,Sedan,BYD,1
Toyota Innova 2.0E 2013,258000000,2013,Xe cũ,Trong nước,200000.0,xăng,Other,Toyota,12
Hyundai Grand Starex 2.4 MT 2017,555000000,2017,Xe cũ,Nhập khẩu,130000.0,dầu,Van/Minivan,Hyundai,8
Hyundai i30 CW 1.6 AT 2011,248000000,2011,Xe cũ,Nhập khẩu,160000.0,xăng,Hatchback,Hyundai,14
Suzuki XL7 1.5L 2021,439000000,2021,Xe cũ,Nhập khẩu,58000.0,xăng,SUV,Suzuki,4
Mitsubishi Xpander 1.5 AT  2022,499000000,2022,Xe cũ,Trong nước,66000.0,xăng,MPV,Mitsubishi,3
VinFast LUX A2.0 Cao cấp 2021,525000000,2021,Xe cũ,Trong nước,80000.0,xăng,Sedan,VinFast,4
VinFast LUX A2.0 Cao cấp 2021,498000000,2021,Xe cũ,Trong nước,50000.0,xăng,Sedan,VinFast,4
Mercedes-Benz GLC 300 4Matic Coupe 2020,1690000000,2020,Xe cũ,Nhập khẩu,75000.0,xăng,SUV,Mercedes,5
Mercedes-Benz E300 AMG 2021,1899000000,2021,Xe cũ,Trong nước,33333.0,xăng,Sedan,Mercedes,4
Daewoo Lacetti EX 1.6 2009,75000000,2009,Xe cũ,Trong nước,102000.0,xăng,Sedan,Daewoo,16
Mazda 3 1.5L Sedan 2016,350000000,2016,Xe cũ,Trong nước,100000.0,xăng,Other,Mazda,9
Kia Carens SX 2.0 AT 2011,230000000,2011,Xe cũ,Trong nước,120000.0,xăng,MPV,Kia,14
Ford EcoSport 2020,439000000,2020,Xe cũ,Trong nước,59000.0,xăng,SUV,Ford,5
Mitsubishi Triton 2011,248000000,2011,Xe cũ,Trong nước,155000.0,xăng,Bán tải,Mitsubishi,14
Toyota Fortuner 2016,535000000,2016,Xe cũ,Trong nước,90000.0,dầu,SUV,Toyota,9
Mazda 3 Sedan 1.5L Premium 2022,575000000,2022,Xe cũ,Nhập khẩu,46600.0,xăng,Sedan,Mazda,3
Kia Soluto AT Deluxe 2020,319000000,2020,Xe cũ,Trong nước,26000.0,xăng,Sedan,Kia,5
Mercedes-Benz GLC 200 4Matic 2021,1280000000,2021,Xe cũ,Trong nước,40000.0,xăng,SUV,Mercedes,4
Ford EcoSport Titanium 1.5L AT 2016,356000000,2016,Xe cũ,Trong nước,80000.0,xăng,SUV,Ford,9
Mitsubishi Triton 2018,430000000,2018,Xe cũ,Nhập khẩu,120000.0,xăng,Other,Mitsubishi,7
Mini Cooper S 3 cửa 2022,1699000000,2022,Xe cũ,Nhập khẩu,12222.0,xăng,Hatchback,Mini,3
Ford Ranger XLT 2.2 4X4 MT 2009,195000000,2009,Xe cũ,Trong nước,160000.0,dầu,Bán tải,Ford,16
VinFast LUX A2.0 Tiêu chuẩn 2020,515000000,2020,Xe cũ,Trong nước,50000.0,xăng,Sedan,VinFast,5
Ford Mustang EcoBoost 2019,1750000000,2019,Xe cũ,Nhập khẩu,29000.0,xăng,Sport Car,Ford,6
Ford Transit SVP 2021,580000000,2021,Xe cũ,Trong nước,87000.0,dầu,Van/Minivan,Ford,4
Toyota Innova 2.0G 2006,155000000,2006,Xe cũ,Trong nước,256380.0,xăng,MPV,Toyota,19
Mercedes-Benz C250 Exclusive 2015,659000000,2015,Xe cũ,Trong nước,53000.0,xăng,Other,Mercedes,10
Ford Explorer 2.3L Ecoboost 2022,1818000000,2022,Xe cũ,Trong nước,37000.0,xăng,Other,Ford,3
Hyundai Grand i10 Sedan 1.2 MT 2017,199000000,2017,Xe cũ,Nhập khẩu,100000.0,xăng,Sedan,Hyundai,8
Toyota Camry 2.5G 2013,479000000,2013,Xe cũ,Trong nước,86000.0,xăng,Sedan,Toyota,12
Mitsubishi Outlander 2.0 CVT Premium 2022,750000000,2022,Xe cũ,Trong nước,3300.0,xăng,SUV,Mitsubishi,3
Mercedes-Benz C300 2017,680000000,2017,Xe cũ,Trong nước,75000.0,xăng,Other,Mercedes,8
Toyota Hilux 2020,506000000,2020,Xe cũ,Trong nước,70000.0,dầu,Bán tải,Toyota,5
Hyundai Grand i10 1.2 AT 2022,360000000,2022,Xe cũ,Trong nước,28500.0,xăng,Hatchback,Hyundai,3
Toyota Vios 1.5G AT 2022,459000000,2022,Xe cũ,Trong nước,80000.0,xăng,Sedan,Toyota,3
Peugeot 3008 GT Line 2022,860000000,2022,Xe cũ,Trong nước,30000.0,xăng,SUV,Peugeot,3
Hyundai Grand i10 Sedan 1.2 MT 2020,242000000,2020,Xe cũ,Nhập khẩu,150000.0,xăng,Sedan,Hyundai,5
Citroen DS3 2011,299000000,2011,Xe cũ,Nhập khẩu,110000.0,xăng,Coupe,Citroen,14
Toyota Vios G 2020,405000000,2020,Xe cũ,Trong nước,40000.0,xăng,Sedan,Toyota,5
Hyundai Grand Starex 2.5 MT 2016,395000000,2016,Xe cũ,Nhập khẩu,120000.0,xăng,Van/Minivan,Hyundai,9
Mazda CX-5 2.0 Luxury 2021,675000000,2021,Xe cũ,Trong nước,55000.0,xăng,SUV,Mazda,4
Hyundai Tucson 2016,530000000,2016,Xe cũ,Trong nước,70000.0,xăng,Other,Hyundai,9
Nissan X trail 2.5 SV 4WD 2016,490000000,2016,Xe cũ,Nhập khẩu,90000.0,xăng,Crossover,Nissan,9
Honda HR-V L 2018,520000000,2018,Xe cũ,Nhập khẩu,78797.0,xăng,SUV,Honda,7
Mitsubishi Triton 4×4 AT MIVEC 2021,635000000,2021,Xe cũ,Nhập khẩu,66000.0,dầu,Bán tải,Mitsubishi,4
VinFast LUX SA2.0 Tiêu chuẩn 2021,670000000,2021,Xe cũ,Trong nước,80000.0,xăng,SUV,VinFast,4
Hyundai Accent 1.4 MT 2021,325000000,2021,Xe cũ,Trong nước,90000.0,xăng,Sedan,Hyundai,4
Toyota Fortuner 2.4G 4x2 AT  2019,715000000,2019,Xe cũ,Trong nước,107000.0,dầu,SUV,Toyota,6
Toyota Innova 2017,410000000,2017,Xe cũ,Trong nước,100000.0,xăng,Other,Toyota,8
